,pop,fips
0,26036.0,1099
1,43779.0,1079
2,47564.0,1081
3,35719.0,1093
4,36220.0,1107
5,21663.0,1119
6,49321.0,1073
7,32122.0,1023
8,39501.0,1059
9,32255.0,1091
10,38988.0,1113
11,40041.0,1019
12,39467.0,1039
13,38937.0,1041
14,30065.0,1047
15,44888.0,1077
16,29785.0,1085
17,32308.0,1087
18,52831.0,1083
19,74063.0,1117
20,53483.0,1115
21,35362.0,1133
22,52562.0,1003
23,40997.0,1043
24,54981.0,1051
25,42803.0,1069
26,39281.0,1071
27,39219.0,1121
28,50513.0,1125
29,42185.0,1129
30,37287.0,1027
31,49821.0,1031
32,47529.0,1103
33,35684.0,1109
34,43501.0,1021
35,45477.0,1033
36,34792.0,1037
37,44711.0,1045
38,34679.0,1065
39,42064.0,1055
40,38842.0,1049
41,35026.0,1053
42,36016.0,1075
43,39485.0,1111
44,36326.0,1013
45,45802.0,1097
46,30434.0,1035
47,22973.0,1105
48,38872.0,1127
49,37396.0,1029
50,20954.0,1063
51,33368.0,1005
52,43404.0,1007
53,29655.0,1011
54,43686.0,1015
55,37342.0,1017
56,33827.0,1025
57,36541.0,1057
58,46545.0,1101
59,41104.0,1095
60,47412.0,1009
61,45569.0,1067
62,61318.0,1089
63,55317.0,1001
64,42181.0,1123
65,39293.0,1061
66,27012.0,1131
67,74167.0,2150
68,83295.0,2068
69,86019.0,2261
70,65279.0,2122
71,85192.0,2016
72,79500.0,2060
73,61533.0,2188
74,53853.0,2050
75,77266.0,2185
76,70765.0,2220
77,76250.0,2090
78,67321.0,2130
79,74887.0,2170
80,64583.0,2282
81,53821.0,2180
82,58708.0,2070
83,70640.0,2100
84,90749.0,2110
85,45208.0,2164
86,63866.0,2240
87,37819.0,2290
88,82271.0,2020
89,66607.0,2013
90,52114.0,2198
91,56094.0,2275
92,57900.0,2105
93,70673.0,2230
94,63490.0,2195
95,36468.0,2158
96,48676.0,4019
97,58580.0,4013
98,41179.0,4007
99,48173.0,4009
100,39630.0,4023
101,47847.0,4003
102,36479.0,4012
103,41567.0,4015
104,32360.0,4001
105,53523.0,4005
106,48259.0,4025
107,43253.0,4027
108,56298.0,4011
109,38798.0,4017
110,52628.0,4021
111,44074.0,5145
112,36995.0,5099
113,33102.0,5123
114,48850.0,5119
115,32219.0,5021
116,41081.0,5037
117,35794.0,5039
118,36092.0,5043
119,37072.0,5027
120,35930.0,5121
121,58985.0,5125
122,34428.0,5141
123,40727.0,5009
124,39135.0,5065
125,39945.0,5063
126,38873.0,5079
127,37982.0,5083
128,49968.0,5053
129,38558.0,5035
130,39472.0,5047
131,50316.0,5045
